,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms"
,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
265,30515,"$1,460","$1,500","$1,690","$2,060","$2,510"
266,30517,"$1,320","$1,390","$1,570","$1,940","$2,310"
267,30518,"$1,340","$1,380","$1,560","$1,910","$2,310"
268,30519,"$1,760","$1,800","$2,040","$2,480","$3,020"
269,30533,$930,"$1,020","$1,150","$1,460","$1,660"
270,30534,"$1,080","$1,110","$1,250","$1,520","$1,860"
271,30536,"$1,100","$1,120","$1,270","$1,550","$1,890"
272,30540,$590,$640,$830,"$1,110","$1,370"
273,30548,"$1,140","$1,200","$1,350","$1,670","$1,990"
274,30620,"$1,390","$1,430","$1,610","$1,960","$2,390"
275,30622,"$1,050","$1,110","$1,260","$1,690","$1,920"
276,30641,"$1,190","$1,220","$1,410","$1,720","$2,150"
277,30650,$840,$840,"$1,110","$1,370","$1,890"
278,30655,"$1,080","$1,110","$1,250","$1,520","$1,860"
279,30656,"$1,190","$1,210","$1,370","$1,670","$2,040"
280,30663,$740,$740,$980,"$1,210","$1,670"
281,30666,"$1,120","$1,150","$1,300","$1,610","$1,940"
282,30680,"$1,120","$1,150","$1,300","$1,580","$1,930"
283,30734,$980,"$1,000","$1,130","$1,380","$1,680"
284,30747,$670,$680,$790,"$1,020","$1,200"
285,31024,"$1,050","$1,070","$1,210","$1,470","$1,800"
286,31038,$860,$930,"$1,060","$1,300","$1,510"
287,31064,"$1,020","$1,040","$1,180","$1,440","$1,750"
288,31085,"$1,070","$1,100","$1,240","$1,510","$1,840"
289,31106,"$1,410","$1,440","$1,630","$1,980","$2,420"
290,31107,"$1,350","$1,380","$1,560","$1,900","$2,320"
291,31119,"$1,350","$1,380","$1,560","$1,900","$2,320"
292,31126,"$1,410","$1,440","$1,630","$1,980","$2,420"
293,31131,"$1,410","$1,440","$1,630","$1,980","$2,420"
294,31139,"$1,390","$1,430","$1,610","$1,960","$2,390"
295,31141,"$1,350","$1,380","$1,560","$1,900","$2,320"
296,31145,"$1,350","$1,380","$1,560","$1,900","$2,320"
297,31146,"$1,350","$1,380","$1,560","$1,900","$2,320"
298,31150,"$1,410","$1,440","$1,630","$1,980","$2,420"
299,31156,"$1,410","$1,440","$1,630","$1,980","$2,420"
300,39901,"$1,350","$1,380","$1,560","$1,900","$2,320"
